Tabla de datos;Plano;Material;Volumen;Dificultad;Programacion;Posiciones;Tiempo preparacion + mecanizado;Persona;Tolerancia;Operaciones
1;PL6776-24;ALUMINIO;794136;2;25;2;30;Jose;0;0
2;PL6776-92;ALUMINIO;639100;2;25;2;30;Jose;0;0
3;PL6776-77;ALUMINIO;163072;1;15;2;15;Jose;0;0
4;PL6776-36;ALUMINIO;184800;1;15;2;15;Jose;0;0
5;PL6776-87;ALUMINIO;530100;2;30;2;20;Jose;0;0
6;PL6776-40;ALUMINIO;2295010;3;45;2;40;Jose;0;1
7;PL6740A-15;ALUMINIO;97200;1;15;2;15;Jose;0;0
8;PL6740A-18;ALUMINIO;7700;1;10;2;10;Jose;0;0
9;PL6833-11;ALUMINIO;582400;2;30;2;25;Jose;0;0
10;PL6833-5;ALUMINIO;1064505;2;30;2;30;Jose;0;0
11;ID0072-10;ALUMINIO;102400;2;30;2;15;Jose;0;1
12;PL6834-16;ALUMINIO;332860;2;20;2;20;Jose;0;0
13;ID0072-3;ALUMINIO;135360;2;40;2;25;Jose;0;1
14;ID0072-9;ALUMINIO;390000;3;60;2;40;Jose;0;1
15;IUD0072-2;ALUMINIO;106560;2;20;2;25;Jose;0;1
16;ID0072-10;ALUMINIO;306360;4;45;2;65;Jose;0;1
17;PL6834-6;ALUMINIO;1190000;2;35;2;35;Jose;0;0
18;PL6834-47;ALUMINIO;453600;2;25;2;25;Jose;0;0
19;PL6744-101;ALUMINIO;49200;1;15;2;15;Jose;0;0
20;PL6744-14;ALUMINIO;66000;1;15;2;15;Jose;0;0
21;PL6776-82;PEEK;43173;3;30;3;90;Jorge;1;1
22;PL6863-7;F-114;210000;3;30;2;90;Jorge;1;1
23;PL6863-47;F-114;129000;4;30;2;75;Jorge;1;1
24;PL6833-4;F-114;36000;4;30;2;90;Jorge;1;1
25;PL6833-10;F-114;16728;3;30;2;75;Jorge;0;1
26;PL6833-8;F-114;21000;4;30;2;90;Jorge;1;1
27;PL6831-3;AISI304;40200;4;30;2;90;Jorge;1;1
28;PL6831-6;AISI304;21000;4;30;2;90;Jorge;1;1
29;PL6831-8;AISI304;16728;3;30;2;75;Jorge;1;1
30;ID0072-13;F-522;5456;3;30;2;60;Jorge;0;1
31;ID0072-4;F-522;3200;3;30;2;75;Jorge;0;1
32;ID0072-15;F-522;20790;5;60;2;120;Jorge;1;1
33;ID0072-16;F-522;8910;5;60;2;90;Jorge;1;1
34;ID0014;F-522;99792;5;60;2;120;Jorge;1;1
35;PL6744-167;F-114;35880;2;30;2;30;Jorge;0;1
36;PL6744-210;F-114;31824;3;30;2;45;Jorge;0;1
37;PL6744-175;F-114;29952;3;30;2;45;Jorge;0;1
38;PL6744-197;F-114;26840;3;45;2;90;Jorge;0;1
39;PL6744-176;BRONCE;29440;3;30;2;60;Jorge;0;1
40;PL6744-178;ALUMINIO;253260;2;30;2;60;Jorge;0;1
41;PL6744-8;ALUMINIO;112200;2;20;2;30;Marcos;0;1
