Tabla de datos,Plano,Material,Volumen,Dificultad,Programacion,Posiciones,Tiempo preparacion + mecanizado,Persona,Tolerancia,Operaciones,nota_estimada
3,PL6776-77,ALUMINIO,163072,1,15.0,2,15,Jose,0,0,1
4,PL6776-36,ALUMINIO,184800,1,15.0,2,15,Jose,0,0,1
7,PL6740A-15,ALUMINIO,97200,1,15.0,2,15,Jose,0,0,1
8,PL6740A-18,ALUMINIO,7700,1,10.0,2,10,Jose,0,0,1
11,ID0072-10,ALUMINIO,102400,2,30.0,2,15,Jose,0,1,2
13,ID0072-3,ALUMINIO,135360,2,40.0,2,25,Jose,0,1,2
15,IUD0072-2,ALUMINIO,106560,2,20.0,2,25,Jose,0,1,2
19,PL6744-101,ALUMINIO,49200,1,15.0,2,15,Jose,0,0,1
20,PL6744-14,ALUMINIO,66000,1,15.0,2,15,Jose,0,0,1
21,PL6776-82,PEEK,43173,3,30.0,3,90,Jorge,1,1,3
22,PL6863-7,F-114,210000,3,30.0,2,90,Jorge,1,1,3
23,PL6863-47,F-114,129000,4,30.0,2,75,Jorge,1,1,3
24,PL6833-4,F-114,36000,4,30.0,2,90,Jorge,1,1,3
25,PL6833-10,F-114,16728,3,30.0,2,75,Jorge,0,1,2
26,PL6833-8,F-114,21000,4,30.0,2,90,Jorge,1,1,3
27,PL6831-3,AISI304,40200,4,30.0,2,90,Jorge,1,1,3
28,PL6831-6,AISI304,21000,4,30.0,2,90,Jorge,1,1,3
29,PL6831-8,AISI304,16728,3,30.0,2,75,Jorge,1,1,3
30,ID0072-13,F-522,5456,3,30.0,2,60,Jorge,0,1,2
31,ID0072-4,F-522,3200,3,30.0,2,75,Jorge,0,1,2
33,ID0072-16,F-522,8910,5,60.0,2,90,Jorge,1,1,3
35,PL6744-167,F-114,35880,2,30.0,2,30,Jorge,0,1,2
36,PL6744-210,F-114,31824,3,30.0,2,45,Jorge,0,1,2
37,PL6744-175,F-114,29952,3,30.0,2,45,Jorge,0,1,2
38,PL6744-197,F-114,26840,3,45.0,2,90,Jorge,0,1,2
39,PL6744-176,BRONCE,29440,3,30.0,2,60,Jorge,0,1,2
40,PL6744-178,ALUMINIO,253260,2,30.0,2,60,Jorge,0,1,2
41,PL6744-8,ALUMINIO,112200,2,20.0,2,30,Marcos,0,1,2
42,PL6744-11,ALUMINIO,112200,2,20.0,2,30,Marcos,0,1,2
43,PL6744-102,ALUMINIO,137700,2,20.0,2,30,Marcos,0,1,2
44,PL6744-104,ALUMINIO,71400,2,20.0,2,30,Marcos,0,1,2
45,PL6744-106,ALUMINIO,102000,2,20.0,2,30,Marcos,0,1,2
46,PL6744-108,ALUMINIO,46920,2,20.0,2,30,Marcos,0,1,2
47,PL6744-122,ALUMINIO,46920,2,20.0,2,30,Marcos,0,1,2
48,PL6744-124,ALUMINIO,71000,2,20.0,2,30,Marcos,0,1,2
51,PL6744-174,ALUMINIO,205100,1,30.0,2,30,Marcos,0,0,1
52,PL6744-187,ALUMINIO,283000,1,30.0,2,30,Marcos,0,0,2
53,PL6744-192,ALUMINIO,104850,1,30.0,2,30,Marcos,0,0,1
55,PL6744-212,ALUMINIO,205100,1,30.0,2,30,Marcos,0,0,1
58,PL6744-196,ALUMINIO,217800,3,30.0,2,60,Jorge,1,0,2
59,PL6744-152,ALUMINIO,239400,3,30.0,2,75,Jorge,1,0,2
60,PL5553Z-9,AISI304,81900,4,30.0,2,105,Jorge,1,1,3
61,PL5553Z-10,AISI304,81900,3,30.0,2,60,Jorge,0,1,2
62,PL5553Z-12,AISI304,36900,3,30.0,2,75,Jorge,0,1,2
63,PL5553Z-5,AISI304,63000,3,30.0,3,75,Jorge,0,1,2
64,PL5553Z-15,AISI304,65000,3,30.0,2,75,Jorge,0,1,2
65,PL6877-1,F-114,100000,4,,2,90,Jorge,1,1,3
66,PL6877-2,F-114,125400,4,,2,105,Jorge,1,1,3
70,PL6872-39,F-114,16848,2,,2,45,Jorge,0,0,1
71,PL6872-37,F-114,42768,2,,2,45,Jorge,0,0,1
72,PL6873-37,F-114,59280,2,,2,60,Jorge,0,0,1
73,PL6873-32,F-114,21840,2,,2,45,Jorge,0,0,1
74,PL6872-36,F-114,23400,2,,2,45,Jorge,0,0,1
